period_id,weight,hour_period
5,253.1359,2025-07-12 21:47:05.043254+00:00
5,253.8942,2025-07-12 21:47:12.338711+00:00
5,252.3308,2025-07-12 21:47:19.639877+00:00
5,145.3721,2025-07-12 21:47:34.252761+00:00
5,144.2299,2025-07-12 21:47:41.564602+00:00
5,143.3411,2025-07-12 21:47:48.874827+00:00
5,139.8526,2025-07-12 21:47:56.184680+00:00
5,412.2157,2025-07-12 21:48:03.496905+00:00
5,426.6271,2025-07-12 21:48:10.803391+00:00
5,426.4081,2025-07-12 21:48:18.104776+00:00
5,426.7929,2025-07-12 21:48:25.400520+00:00
5,426.9888,2025-07-12 21:48:32.714392+00:00
5,424.0243,2025-07-12 21:48:40.015905+00:00
5,422.2075,2025-07-12 21:48:47.317326+00:00
5,425.0927,2025-07-12 21:48:54.617069+00:00
5,424.0903,2025-07-12 21:49:01.917309+00:00
5,425.4283,2025-07-12 21:49:09.232299+00:00
5,426.7969,2025-07-12 21:49:16.543222+00:00
5,427.192,2025-07-12 21:49:23.840938+00:00
5,624.0471,2025-07-12 21:49:31.153240+00:00
5,624.8659,2025-07-12 21:49:38.452935+00:00
5,623.5545,2025-07-12 21:49:45.753496+00:00
5,626.1115,2025-07-12 21:49:53.056927+00:00
5,628.3141,2025-07-12 21:50:00.360220+00:00
5,628.3181,2025-07-12 21:50:07.668384+00:00
5,626.8772,2025-07-12 21:50:14.976936+00:00
5,627.603,2025-07-12 21:50:22.289120+00:00
5,725.8908,2025-07-12 21:50:29.611170+00:00
5,730.2366,2025-07-12 21:50:36.898184+00:00
5,729.0988,2025-07-12 21:50:44.192229+00:00
5,728.4424,2025-07-12 21:50:51.491732+00:00
5,795.3563,2025-07-12 21:50:58.776598+00:00
5,945.5157,2025-07-12 21:51:06.088024+00:00
5,944.0452,2025-07-12 21:51:13.396912+00:00
5,942.3672,2025-07-12 21:51:20.698242+00:00
5,941.1492,2025-07-12 21:51:28.000505+00:00
5,939.6655,2025-07-12 21:51:35.306733+00:00
5,942.1093,2025-07-12 21:51:42.617628+00:00
5,945.7396,2025-07-12 21:51:49.924307+00:00
5,946.6337,2025-07-12 21:51:57.234065+00:00
5,943.3548,2025-07-12 21:52:04.539022+00:00
5,942.7736,2025-07-12 21:52:11.828255+00:00
5,983.8553,2025-07-12 21:52:19.133849+00:00
5,985.5245,2025-07-12 21:52:26.452151+00:00
5,984.999,2025-07-12 21:52:33.774086+00:00
6,144.0035,2025-07-12 21:54:41.619960+00:00
6,145.9075,2025-07-12 21:54:48.932576+00:00
6,144.0257,2025-07-12 21:54:56.240264+00:00
6,143.8874,2025-07-12 21:55:03.553602+00:00
6,143.133,2025-07-12 21:55:10.862026+00:00
6,344.1503,2025-07-12 21:55:18.153625+00:00
6,341.8497,2025-07-12 21:55:25.449260+00:00
6,338.7267,2025-07-12 21:55:32.743446+00:00
6,338.6948,2025-07-12 21:55:40.052883+00:00
6,345.3549,2025-07-12 21:55:47.364980+00:00
6,347.909,2025-07-12 21:55:54.679224+00:00
6,425.2438,2025-07-12 21:56:02.080927+00:00
6,347.0424,2025-07-12 21:56:09.388020+00:00
6,426.7201,2025-07-12 21:56:16.682121+00:00
6,428.2628,2025-07-12 21:56:23.977996+00:00
6,427.4883,2025-07-12 21:56:31.280918+00:00
6,434.8354,2025-07-12 21:56:38.587282+00:00
6,470.3848,2025-07-12 21:56:45.883987+00:00
6,468.7781,2025-07-12 21:56:53.192378+00:00
6,468.0778,2025-07-12 21:57:00.503306+00:00
6,467.0213,2025-07-12 21:57:07.808502+00:00
6,469.3066,2025-07-12 21:57:15.117835+00:00
6,470.0532,2025-07-12 21:57:22.420546+00:00
6,469.3824,2025-07-12 21:57:29.736878+00:00
6,469.7574,2025-07-12 21:57:37.033868+00:00
6,470.4818,2025-07-12 21:57:44.424915+00:00
6,469.5709,2025-07-12 21:57:51.726483+00:00
6,470.5044,2025-07-12 21:57:59.028112+00:00
6,457.9596,2025-07-12 21:58:06.330865+00:00
6,350.4045,2025-07-12 21:58:13.634436+00:00
6,305.3165,2025-07-12 21:58:20.941610+00:00
6,305.5134,2025-07-12 21:58:28.251516+00:00
6,459.7351,2025-07-12 21:58:35.563869+00:00
6,458.9886,2025-07-12 21:58:42.859700+00:00
6,460.2071,2025-07-12 21:58:50.163435+00:00
6,453.7117,2025-07-12 21:58:57.472489+00:00
6,452.5469,2025-07-12 21:59:04.773096+00:00
6,492.885,2025-07-12 21:59:12.080376+00:00
6,491.5312,2025-07-12 21:59:19.394729+00:00
6,493.8677,2025-07-12 21:59:26.694030+00:00
6,493.074,2025-07-12 21:59:34.000304+00:00
6,506.7265,2025-07-12 21:59:41.306638+00:00
6,533.1783,2025-07-12 21:59:48.605232+00:00
